Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PrimaryTemp,BPOM
Raw Hop APA,American Pale Ale,10,18.93,1.054,1.013,5.42,34.66,7.42,28.39,60,1.036,70.0,1.25,Specific Gravity,All Grain,1.25,2
No9 Ultra Bitter11,Ordinary Bitter,118,21.0,1.058,1.015,5.71,14.05,32.87,11.0,60,1.111,35.0,2.6058383233532934,Specific Gravity,All Grain,2.6058383233532934,5
Sheaman OktoFestbier,Oktoberfest/Märzen,115,19.87,1.054,1.013,5.3,26.02,7.66,26.5,60,1.04,80.0,1.25,Specific Gravity,All Grain,1.25,2
Jason's IPA,American IPA,7,5.0,1.056,1.0170000000000001,5.1,29.05,5.43,8.5,70,1.033,80.0,3.5,Specific Gravity,All Grain,3.5,2
Helles Bock,Maibock/Helles Bock,103,20.82,1.068,1.016,6.86,37.93,11.04,24.61,60,1.0590559783418778,75.0,2.065256410256411,Specific Gravity,All Grain,2.065256410256411,2
Nelson pale ale ala vestbrygg?,American Pale Ale,10,15.0,1.051,1.0090000000000001,5.57,31.68,7.79,20.0,60,1.038,70.0,2.2804632561436686,Specific Gravity,BIAB,2.2804632561436686,2
The City of Golden Promise,American IPA,7,20.82,1.0659999999999998,1.013,7.01,64.92,6.02,28.39,60,1.048,70.0,1.5,Specific Gravity,All Grain,1.5,2
Cedar Rock Porter,American Porter,11,20.82,1.057,1.013,5.76,63.51,25.37,24.61,60,1.048,70.0,1.8946646706586827,Specific Gravity,BIAB,1.8946646706586827,5
Bunda Vienna,Vienna Lager,167,40.0,1.052,1.012,5.24,28.57,11.47,44.0,60,1.048,90.0,3.0,Specific Gravity,All Grain,3.0,2
Ferment Saison  2,American Light Lager,9,19.0,1.07,1.015,7.26,27.55,4.29,22.0,60,1.061,70.0,2.5,Specific Gravity,All Grain,2.5,2
Town Crier - Spruce Cream Ale,Cream Ale,45,20.82,1.058,1.0190000000000001,5.17,52.83,3.57,28.39,60,1.042,70.0,1.25,Specific Gravity,All Grain,1.25,2
Twin Saison,Saison,134,60.0,1.053,1.005,6.31,30.73,7.43,70.0,90,1.045,70.0,2.5,Specific Gravity,All Grain,2.5,2
Yuengling 5.5 Beck's Party Maris Otter,Scottish Heavy,138,20.82,1.038,1.0090000000000001,3.85,11.23,12.41,26.5,60,1.03,35.0,1.8703389830508474,Specific Gravity,extract,1.8703389830508474,2
Come to the Tart Side,Berliner Weisse,27,68.14,1.046,1.011,4.6,0.0,26.05,75.71,60,1.0390000000000001,70.0,1.5,Specific Gravity,All Grain,1.5,5
Foundation Red #2,Irish Red Ale,92,37.85,1.056,1.012,5.81,21.22,13.67,45.42,60,1.047,70.0,1.5,Specific Gravity,All Grain,1.5,2
Tecay Lager #3,Czech Pale Lager,49,21.0,1.051,1.011,5.3,34.03,6.24,25.0,60,1.043,75.5,2.0,Specific Gravity,All Grain,2.0,2
Awesome Recipe,California Common Beer,39,11.0,1.056,1.014,5.51,21.12,14.83,6.0,60,1.103,75.0,2.0911964601769917,Specific Gravity,Partial Mash,2.0911964601769917,2
Belgian IPA,Belgian Specialty Ale,25,18.93,1.053,1.013,5.22,14.95,7.14,22.71,60,1.044,70.0,1.5,Specific Gravity,All Grain,1.5,2
Citra IPA,American IPA,7,11.36,1.054,1.014,5.31,43.16,4.22,28.39,60,1.022,70.0,2.0243738248981953,Specific Gravity,BIAB,2.0243738248981953,2
2014 - 8/16 - Sherlock Stout  - Foreign Extr...,Foreign Extra Stout,72,20.82,1.078,1.0190000000000001,7.67,59.17,34.08,24.61,60,1.0659999999999998,77.0,1.33,Specific Gravity,All Grain,1.33,5
Waterfall Black IPA,Specialty IPA: Black IPA,148,23.0,1.058,1.01,6.34,43.0,15.95,28.0,60,1.048,75.0,3.3,Specific Gravity,All Grain,3.3,2
Citra Pale Ale,American Pale Ale,10,3.79,1.056,1.013,5.61,29.19,7.58,9.46,60,1.022,60.0,2.2804632561436686,Specific Gravity,BIAB,2.2804632561436686,2
